,,SentBS,NoStructure 256,Structure 256,NoStructure 512,Structure 512
,A1,"Very confusing. After “HELD:” and “1)” the summary goes on reciting procedural history. In a holding, the phrase “the court” normally would refer to the court making the holding. But here, it refers to a different court.
And there’s confusion between subjects and objects in “the respondent approached the respondent”","Very good, makes sense. “HELD:” and “1)” are in inappropriate places. Too bad it got cut off in the middle of a sentence.","In “HELD: The appeal was allowed and the conviction of the respondent was entered in Provincial Court,” the events are out of order, and “HELD:” doesn’t belong here.
Very incoherent grammar.
The summary gets cut off before ever reaching an issue or conclusion.","This summary spends the whole time summarizing the procedural history, and gets cut off before ever reaching an issue or conclusion. It uses “HELD:” and “1)” in inappropriate places. “1)” appears twice.","Mostly coherent. It’s strange that there are two lists of conclusions, the first one labeled with “1), 2), 3)” and the second one labeled with “First, second, third”. Both lists seem relevant. The summary says it will mention “two preliminary matters” but I don’t think it ever comes around to the second one."
,,,,,,
,,,,,,
Row 5,A1,"Very clear in explaining the identities of the parties and the cause of action, but never quite states an issue or conclusion.","This is clear about the issue and conclusion. A reason is missing (i.e. what did the defendant do to the logs other than harvesting them?).
It would be better if the summary could avoid first-person narration.
The sentence labeled “2)” is not really a separate issue from “1)”.","Some missing nouns make the summary very confusing, but it seems to cover issue, conclusion, and reasons.","This covers issue, conclusion, and reasons, and it has a clearer explanation of the reason than any of the above. The sentences labeled “2)” are not really a separate issue from “1)”.","Hallucinated name “Chim”?This is pretty clear, except after number “2)”"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Row 6,A2,Not a good summary. It starts to ramble. No issues. No conclusion.,Similar to C. Not a good summary. It starts to ramble. No issues. No conclusion.,This is similar to C and D but a bit better. At least we get to a conclusion.,This is a good summary.,"This is not as good as F. It ramble at the end and seems to introduce factual errors. E.g., it says “counsel had not concealed the structural defect.” Counsel is the lawyer. The seller concealed the defect."
,A3,"It’s clear, but never reaches an issue or conclusion.","Also clear, but never reaches an issue or conclusion.","A noun error makes it unclear who the parties are (“appellants appealed a Small Claims Court judgment in which the trial judge found that the appellants had proven”). The cause of action never really becomes clear, and the summary gets cut off before reaching the specific legal issue.",This is clear and covers the IRCs. The numbers are in reasonable places.,"This gives a fairly good understanding of the issue and conclusion.In “Hancock sent a demand for payment of these repair costs to the respondents,” I think it should be “appellants”, not “respondents”.

I can’t tell what the “Although counsel submitted” sentence is about.

There’s no explanation of the significance of “counsel had not concealed the structural defect,” so it seems like the noun ""counsel"" could be a mistake."
,,,,,,
,,,,,,
,,,,,,
row 7,A2,Not a good summary; stopped in mid-stream. Didn’t address stay of proceedings after 4th trial.,This is similar to C.,This is similar to C and D.,"This is a better summary. It includes the stay of proceedings but seems to make a factual error. It says the trial judge stayed the proceedings but according to the Oracle, the appellate court stayed the proceedings.",This is a bad summary. It seems to wander all over the place and include extraneous details like a Corrigendum and text excerpts that don’t seem relevant.
,A3,This was generally ok. The last sentence looks to be extraneous.,This one was good up until and including the statement “A new trial is ordered.” Everything after that should go and it being there detracts from the summary.,"Again, this one was generally good up until the last sentence.  There’s some behavior here, by the model that looks like its trying to fit information in there to fill space when id definitely doesn’t need to. ","This one was good. There’s a clear issue, rules, and a conclusion.","Fluency seems to be a problem with this one “a very hurting injured ankle” is not right. This one is also suspiciously different from the other ones due to its focus on the ankle.  You might want to investigate that. This one seemed to be inline with the other summaries, and then starting talking about the ankle, which didn’t make sense."
